"movie_id","referenced_id","type"
"57923","33217","SpinOff"
"57873","33217","SpinOff"
"53813","10645","SpinOff"
"53813","37641","SpinOff"
"57869","33217","SpinOff"
"58078","41911","SpinOff"
"58078","16062","SpinOff"
"58084","19474","SpinOff"
"33911","900","Influence"
"58365","2637",\N
"58458","29194",\N
"10082","982","Remake"
"58614","55471",\N
"58614","29743",\N
"58774","1805","SpinOff"
"59050","10421","Remake"
"59631","483","Homage"
"59732","2760","Remake"
"42477","35067","Remake"
"185","60149","Remake"
"42906","33448","SpinOff"
"60100","42477",\N
"53980","59564","Remake"
"53980","59564","Influence"
"53980","59564","Influence"
"53980","59564","Homage"
"61048","10803","Remake"
"10679","914",\N
"61481","17323","SpinOff"
"61611","35913","SpinOff"
"61877","5925","Influence"
"35479","43853","SpinOff"
"24969","43853","Influence"
"62128","43853","SpinOff"
"62900","769","Parody"
"36279","861","Remake"
"63299","8472","SpinOff"
"63233","8006",\N
"63338","9958","SpinOff"
"63338","39101",\N
"9792","12262","Remake"
"45760","539",\N
"44077","8265",\N
"63531","9442","Influence"
"9890","12223","Remake"
"63681","11574","Influence"
"54423","57660","SpinOff"
"54423","57626","SpinOff"
"57660","54423","SpinOff"
"63712","98","Parody"
"479","482","Remake"
"47818","19511",\N
"63821","539","Influence"
"8581","377","Remake"
"47833","47481","SpinOff"
"47481","47471",\N
"64455","50423","Influence"
"64455","50423","Homage"
"64542","37165","Influence"
"64542","35207","Influence"
"64584","11772","Influence"
"64584","609","Influence"
"50814","1913","Remake"
"65216","468",\N
"65220","468",\N
"65221","33115",\N
"66164","33892","Influence"
"58084","21786","SpinOff"
"58084","43865","SpinOff"
"34798","34797","Remake"
"66858","775",\N
"66957","9102",\N
"67002","57196","SpinOff"
"27997","27996",\N
"67311","39152","Parody"
"67423","5991",\N
"67662","377","Remake"
"67717","29181","SpinOff"
"50397","52359","Remake"
"33914","50397","Parody"
"33914","52359","Parody"
"33914","39152","Parody"
"67789","33924","SpinOff"
"3089","12311","Influence"
"69295","47249",\N
"69847","35872","Parody"
"69899","817","Parody"
"69914","2667","Parody"
"69915","11531","Parody"
"70062","645","Parody"
"70396","643",\N
"71013","2182","Influence"
"71021","155","Parody"
"71022","1726","Parody"
"71024","6069","Parody"
"71025","6069","Parody"
"71026","645","Parody"
"71069","9378","Parody"
"71070","244","Parody"
"71070","254","Parody"
"71235","10206","Parody"
"71266","5548",\N
"71598","39152","SpinOff"
"71880","31932","Remake"
"57229","803",\N
"72160","10191","SpinOff"
"72330","20475","Remake"
"64624","80",\N
"64624","76",\N
"72461","812","Influence"
"72519","59606",\N
"30168","14776",\N
"74278","202","Parody"
"16364","75726","Remake"
"9708","62722","Remake"
"11665","33526","Remake"
"29219","994","Remake"
"37395","78515","Remake"
"10549","41050","Remake"
"80151","80152","Remake"
"80241","47205","Homage"
"3111","80847","Remake"
"81582","715","Influence"
"81582","33579","Influence"
"81582","55863","Influence"
"81582","19997","Influence"
"81582","710","Influence"
"81582","15947","Influence"
"81582","7451","Influence"
