"person_id","name"
"3808","Francisco Liberto Rabal Cerezales"
"3831","Jean-Pierre Grumbach"
"3841","Samuel Fintzi"
"3872","Daniel César Martín Brühl González Domingo"
"3894","Christian Charles Phillip Bale"
"3894","Christian Morgan Bale"
"3895","Sir Maurice Micklewhite"
"3895","Maurice Micklewhite"
"3896","William John Neeson"
"3930","Sarah Nicholls"
"3967","Kathryn Bailey Beckinsale"
"3977","Joseph Morton, Jr."
"3982","Xander Berkely"
"3987","Conrad Buff"
"4010","T. M. Christopher"
"4014","Paul W. S. Anderson"
"4023","Suzanne M. Smith"
"4023","Suzanne Smith Crowley"
"4023","Suzanne Crowley"
"4025","Stephen Park"
"4028","Nikki Marvin"
"4031","Jonny Rees"
"4038","Susan Abigail Tomalin"
"4064","Webster P. Whinery"
"4070","Gracia Patricia"
"4070","Grace Patricia Kelly"
"4070","Grace Patricia Grimaldi"
"4070","Fürstin Gracia Patricia"
"4070","Fürstin Gracia Patricia von Monaco"
"4070","Princesse Grace de Monaco"
"4072","Creighton Tull Chaney"
"4072","Creighton Chaney"
"4072","Lon Chaney"
"4072","Lon Chaney junior"
"4090","Shirley MacLean Beaty"
"4091","Frederick Martin MacMurray"
"4109","Mihály Kertész"
"4110","Humphrey DeForest Bogart"
"4115","S.Z. Sakall"
"4115","Szöke Szakall"
"4118","Joy Ann Page"
"4127","Orry George Kelly"
"4127","John Orry Kelly"
"4127","John Kelly"
"4135","Charles Robert Redford, Jr."
"4135","Robert Redford"
"4154","Brenda Bletyhn"
"4160","Helen Jane Shaver"
"4165","Marion Robert Morrison"
"4165","Marion Michael Morrison"
"4165","Marion Morrison"
"4165","Duke Morrison"
"4165","Michael Morris"
"4165","The Duke"
"4173","Sir Philip Anthony Hopkins"
"4186","Joseph E. Hutshing"
"4190","David C. Robinson"
"4238","Lonnie Rashid Lynn"
"4239","Dante Terrell Smith"
"4239","Yasiin Bey"
"4274","Sylvette Héry"
"4287","Aurélie Petit"
"4300","Rick Nelson "
"4316","Harry Carey junior"
"4327","Brian Kealana"
"4327","Brian Keaulana"
"4347","Francis Albert Sinatra"
"4359","Philip William Anderson"
"4388","Emmanuelle Bernheim"
"4415","Il Maestro"
"4415","Frederico Fellini"
"4422","Marcel Pagliero"
"4430","Sharon Vonne Stone"
"4434","Fred Elmes "
"4434","Fredrick Elmes "
"4443","Christopher MacDonald"
"4443","Chris MacDonald"
"4443","Chris McDonald"
"4447","Anne Ruark"
"4475","Valdis Oskardottir"
"4492","Phillip Baker Hall"
"4492","Phillip Hall"
"4495","Steven John Carell"
"4517","Joseph Francesco DeLores Eliot Pesci"
"4527","Ludwig Waldleitner"
"4541","Stefan Kampwirth"
"4541","Stephen Kampwirth"
"4555","Franz Hermann Hanfstingl"
"4557","Uli Putz"
"4586","Pitof"
"4586","Pitof"
"4587","Halle Maria Berry"
"4590","Russell Albion Meyer"
"4590","B. Callum"
"4595","Sue Bernard"
"4636","Luna Zimic Mijovic"
"4665","Josh Cruse"
"4665","Josh Cruz"
"4665","Johs Cruze"
"4687","Patricia T. Arquette"
"4707","Christian Wagner"
"4724","Kevin Norwood Bacon"
"4729","Thomas Guiry"
"4741","Cayden Michael Boyd"
"4764","John Christopher Reilly"
"4765","Jason Robards Jr."
"4765","Jason Robards"
"4785","Jeffrey Lynn Goldblum"
"4785","Jeff Goldblum"
"4786","Richard Samuel Attenborough, Baron Attenborough"
"4790","Marty Ferrero"
"4793","Tschulpan Nailjewna Chamatowa"
"4793","Чулпан Хаматова"
"4800","Virginia Cathryn Rowlands"
"4814","Pascal Nzonzi"
"4842","Isaac Liev Schreiber"
"4885","Emmanuelle Marie Hélène Beart"
"4922","Ralph Richter"
"4923","Dieter Krebs"
"4939","Elisabeth Tea Pantaleoni"
"4941","Alessandro Antine Nivola"
"4944","C. Taylor Nichols"
"4944","Cecil Taylor Nichols"
"4953","Ed Verreaux"
"4955","Dario D'Argento"
"4955","Dario Argneto"
"4958","Henry Jaynes Fonda"
"4960","Charles Buchinsky"
"4973","Cyril Cusak"
"4987","Omar Hashim Epps"
"4996","Tatyana M. Ali"
"4997","Mori Masayuki"
"4998","Katsumi Yanagijima"
"5010","William Todd Field"
"5012","Sky Dumont"
"5012","Cayetano Neven du Mont"
"5020","Alfred Leon"
"5026","Kurosawa Akira"
"5026","Akira Kurosawa	 "
"5045","Daniel Thomas O’Bannon"
"5064","Mary Louise Streep"
"5078","Simon Baker-Denny"
"5118","Dilara"
"5125","Fatih Akın"
"5130","Christi Conaway"
"5131","Diane Louise Salinger"
"5140","Wesley Earl Homer Leopold Craven"
"5146","Michael Roberts"
"5166","Stewart Linder"
"5177","Randall \"Tex\" Cobb"
"5177","Randall Cobb"
"5195","Hansjörg Weißbricht"
"5195","Hansjörg Weissbrich"
"5201","Robert Stadlober"
"5203","Alicja Bachleda"
"5203","Alicja Bachleda-Curus"
"5228","Herbert Arthur Wiglev Clamor Grönemeyer"
"5233","Heinz Hönig"
"5238","Günther Rohrbach"
"5240","Klaus Erich Dieter Doldinger"
"5247","John Fiedler"
"5249","E. G. Marshall"
"5254","Jiří Voskovec"
"5281","Shelton Jackson Lee"
"5288","அல்லா ரக்கா ரஹ்மான்"
"5288","Allah Rakha Rahman"
"5288","A. S. Dileep Kumar"
"5288","A.R. Rehman"
"5290","Kim Taylor Coleman"
"5290","Kim Taylor-Coleman"
"5292","Denzel Jermaine Washington, Jr."
"5293","Willem Dafoe Jr."
"5309","Dame Judi Dench"
"5309","Judith Olivia Dench"
"5310","Antonio Gil"
"5320","Leslie Claire Margaret Caron"
"5341","Richard Walter Jenkins jr."
"5351","Katherine Renee Shindle"
"5365","Clifton Gonzalez Gonzalez"
"5365","Clifton G. Gonzalez"
"5365","Clifton Collins junior"
"5383","Danny Michael DeVito"
"5384","Cliff 'Method Man' Smith"
"5414","Colin Salmon"
"5414","Colin Salmon"
"5438","Richard Bridgland Fitzgerald"
"5464","William Gilbert Barron"
"5464","William Gilbert"
"5469","Ralph Nathaniel Fiennes"
"5471","Naveen William Sidney Andrews"
"5488","Gabriel Yared"
"5496","Mehmet Kurtuluş"
"5497","Aleksander Jovanovic"
"5527","Skandar Keynes"
"5530","James Andrew McAvoy"
"5538","Raymond Andrew Winstone"
"5554","Óscar O. Sánchez"
"5561","Anthony M. Dawson"
