"image_id","object_id","object_type","image_version"
"1036","576","Movie",\N
"1037","564","Movie",\N
"1038","565","Movie",\N
"1039","577","Movie",\N
"1040","575","Movie",\N
"1041","581","Movie",\N
"1042","578","Movie",\N
"1043","582","Movie",\N
"1044","587","Movie",\N
"1045","586","Movie",\N
"1047","590","Movie",\N
"1048","591","Movie",\N
"1049","592","Movie","2"
"1050","593","Movie",\N
"1051","596","Movie",\N
"1052","2741","Category",\N
"1053","597","Movie",\N
"1054","598","Movie",\N
"1055","599","Movie",\N
"1056","600","Movie","1"
"1057","588","Movie",\N
"1058","602","Movie",\N
"1059","595","Movie","2"
"1060","594","Movie",\N
"1062","429","Company",\N
"1063","614","Movie","2"
"1064","615","Movie",\N
"1065","612","Movie",\N
"1066","613","Movie",\N
"1067","616","Movie",\N
"1068","618","Movie",\N
"1069","619","Movie",\N
"1070","620","Movie",\N
"1071","621","Movie",\N
"1072","622","Movie",\N
"1073","623","Movie",\N
"1074","624","Movie","5"
"1075","625","Movie",\N
"1076","626","Movie",\N
"1077","627","Movie",\N
"1078","628","Movie",\N
"1079","3141","Category",\N
"1080","629","Movie","2"
"1081","630","Movie",\N
"1082","631","Movie",\N
"1083","632","Movie",\N
"1084","633","Movie",\N
"1085","634","Movie",\N
"1086","635","Movie",\N
"1087","636","Movie",\N
"1088","617","Movie",\N
"1089","637","Movie",\N
"1090","639","Movie",\N
"1091","603","Movie",\N
"1092","640","Movie",\N
"1093","604","Movie",\N
"1094","605","Movie",\N
"1095","641","Movie",\N
"1096","642","Movie",\N
"1097","643","Movie",\N
"1098","607","Movie",\N
"1099","608","Movie",\N
"1100","644","Movie",\N
"1101","645","Movie","9"
"1102","585","Movie",\N
"1103","647","Movie",\N
"1104","648","Movie",\N
"1105","649","Movie",\N
"1106","650","Movie",\N
"1107","651","Movie",\N
"1108","652","Movie",\N
"1109","653","Movie",\N
"1110","654","Movie",\N
"1111","655","Movie",\N
"1112","646","Movie",\N
"1113","657","Movie",\N
"1114","658","Movie",\N
"1115","270","Movie","2"
"1116","638","Movie",\N
"1117","660","Movie",\N
"1118","661","Movie","2"
"1119","662","Movie",\N
"1120","601","Movie",\N
"1121","656","Movie","3"
"1122","664","Movie",\N
"1123","609","Movie",\N
"1124","665","Movie",\N
"1125","666","Movie",\N
"1126","667","Movie",\N
"1127","668","Movie",\N
"1128","669","Movie",\N
"1129","670","Movie","2"
"1130","676","Movie",\N
"1131","677","Movie",\N
"1132","678","Movie",\N
"1133","679","Movie",\N
"1134","680","Movie",\N
"1135","681","Movie",\N
"1136","253","Movie",\N
"1137","682","Movie",\N
"1138","211","Movie",\N
"1139","659","Movie","2"
"1140","685","Movie",\N
"1141","686","Movie",\N
"1142","402","Movie",\N
"1143","689","Movie",\N
"1144","690","Movie","2"
"1145","691","Movie",\N
"1146","692","Movie",\N
"1147","687","Movie",\N
"1148","693","Movie",\N
"1149","694","Movie",\N
"1150","695","Movie",\N
"1151","696","Movie",\N
"1152","697","Movie",\N
"1153","698","Movie",\N
"1154","699","Movie",\N
"1155","700","Movie",\N
"1156","701","Movie",\N
"1157","702","Movie","2"
"1158","703","Movie",\N
"1159","350","Movie",\N
"1160","704","Movie",\N
"1161","705","Movie",\N
"1162","706","Movie",\N
"1163","707","Movie",\N
"1164","606","Movie",\N
"1165","708","Movie",\N
"1166","709","Movie",\N
"1167","710","Movie",\N
"1168","688","Movie",\N
"1169","711","Movie",\N
"1170","583","Movie","3"
"1171","714","Movie",\N
"1172","712","Movie",\N
"1173","715","Movie",\N
"1174","716","Movie",\N
"1175","717","Movie",\N
"1176","718","Movie",\N
"1177","719","Movie",\N
"1178","720","Movie",\N
"1179","721","Movie",\N
"1180","722","Movie",\N
"1181","723","Movie",\N
"1182","724","Movie",\N
"1183","725","Movie",\N
"1184","726","Movie",\N
"1185","727","Movie",\N
"1186","713","Movie",\N
"1187","728","Movie",\N
"1188","730","Movie",\N
"1189","731","Movie",\N
"1190","732","Movie",\N
"1191","733","Movie",\N
"1192","734","Movie",\N
"1193","736","Movie",\N
"1194","737","Movie",\N
"1195","738","Movie",\N
"1196","561","Movie",\N
"1200","671","Movie",\N
"1201","1","Movie","4"
"1202","729","Movie",\N
"1203","743","Movie",\N
"1204","744","Movie",\N
"1205","747","Movie",\N
"1206","749","Movie",\N
"1207","748","Movie","4"
"1208","672","Movie",\N
"1209","751","Movie","2"
"1210","757","Movie","2"
"1211","758","Movie","2"
"1212","750","Movie","2"
"1213","759","Movie",\N
"1214","760","Movie",\N
"1215","673","Movie",\N
"1216","761","Movie","2"
"1217","762","Movie",\N
"1218","674","Movie",\N
"1219","742","Movie",\N
"1220","752","Movie",\N
"1221","754","Movie",\N
"1222","763","Movie","2"
"1223","675","Movie","2"
"1224","764","Movie",\N
